carrier,phone model,speed range,error type,wTCPup1,wTCPdown1,eTCPup1,eTCPdown1,wTCPup2,wTCPdown2,eTCPup2,eTCPdown2,best d/l speeds,total tests,total in batch
AT&T,SM-G970U,200M+,N/A,0,20,0,0,0,19,0,0,29,4071,32749
AT&T,SM-G970U,100M-200M,N/A,0,492,0,90,0,483,0,84,570,4071,32749
AT&T,SM-G970U,50M-100M,N/A,66,676,56,916,64,632,60,891,738,4071,32749
AT&T,SM-G970U,10M-50M,N/A,1239,1165,1211,1296,1222,1218,1203,1325,1191,4071,32749
AT&T,SM-G970U,0M-10M,N/A,1892,844,1912,877,1890,824,1917,880,647,4071,32749
AT&T,SM-G970U,N/A,N/A,0,0,0,0,0,0,0,0,896,4071,32749
AT&T,SM-G970U,N/A,timeout,104,104,118,118,120,120,107,107,0,4071,32749
AT&T,SM-G970U,N/A,no effective service,734,734,734,734,734,734,734,734,0,4071,32749
AT&T,SM-G970U,N/A,connect_error2,36,36,40,40,41,41,50,50,0,4071,32749
AT&T,SM-G970U,N/A,bad_output,0,0,0,0,0,0,0,0,0,4071,32749
AT&T,SM-G970U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4071,32749
AT&T,SM-G998U,200M+,N/A,0,67,0,0,0,65,0,0,79,4079,32749
AT&T,SM-G998U,100M-200M,N/A,0,563,0,306,0,564,0,253,637,4079,32749
AT&T,SM-G998U,50M-100M,N/A,115,688,106,916,124,714,109,930,784,4079,32749
AT&T,SM-G998U,10M-50M,N/A,1155,1098,1064,1166,1211,1078,1162,1198,1048,4079,32749
AT&T,SM-G998U,0M-10M,N/A,1832,686,1930,712,1769,683,1834,724,531,4079,32749
AT&T,SM-G998U,N/A,N/A,0,0,0,0,0,0,0,0,1000,4079,32749
AT&T,SM-G998U,N/A,timeout,127,127,135,135,122,122,120,120,0,4079,32749
AT&T,SM-G998U,N/A,no effective service,810,810,810,810,810,810,810,810,0,4079,32749
AT&T,SM-G998U,N/A,connect_error2,40,40,34,34,43,43,44,44,0,4079,32749
AT&T,SM-G998U,N/A,bad_output,0,0,0,0,0,0,0,0,0,4079,32749
AT&T,SM-G998U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4079,32749
FirstNet,XP8800,200M+,N/A,0,0,0,0,0,1,0,0,1,4048,32749
FirstNet,XP8800,100M-200M,N/A,0,63,0,5,0,59,0,9,73,4048,32749
FirstNet,XP8800,50M-100M,N/A,11,329,10,321,14,314,12,311,390,4048,32749
FirstNet,XP8800,10M-50M,N/A,1360,1801,1356,1836,1380,1822,1384,1865,1953,4048,32749
