carrier,phone model,speed range,error type,wTCPup1,wTCPdown1,eTCPup1,eTCPdown1,wTCPup2,wTCPdown2,eTCPup2,eTCPdown2,best d/l speeds,total tests,total in batch
Verizon,SM-G998U,200M+,N/A,0,12,0,1,1,9,0,1,14,4054,32509
Verizon,SM-G998U,100M-200M,N/A,0,146,0,63,0,161,0,70,192,4054,32509
Verizon,SM-G998U,50M-100M,N/A,164,491,145,462,166,518,141,463,622,4054,32509
Verizon,SM-G998U,10M-50M,N/A,1279,1203,1227,1190,1293,1166,1275,1233,1265,4054,32509
Verizon,SM-G998U,0M-10M,N/A,1714,1305,1772,1428,1669,1275,1720,1369,1041,4054,32509
Verizon,SM-G998U,N/A,N/A,0,0,0,0,0,0,0,0,920,4054,32509
Verizon,SM-G998U,N/A,timeout,71,71,106,106,102,102,95,95,0,4054,32509
Verizon,SM-G998U,N/A,no effective service,753,753,753,753,753,753,753,753,0,4054,32509
Verizon,SM-G998U,N/A,connect_error2,70,70,51,51,69,69,66,66,0,4054,32509
Verizon,SM-G998U,N/A,bad_output,3,3,0,0,1,1,4,4,0,4054,32509
Verizon,SM-G998U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4054,32509
