carrier,phone model,speed range,error type,wTCPup1,wTCPdown1,eTCPup1,eTCPdown1,wTCPup2,wTCPdown2,eTCPup2,eTCPdown2,best d/l speeds,total tests,total in batch
AT&T,SM-G970U,200M+,N/A,0,41,0,1,0,30,0,1,46,4041,32509
AT&T,SM-G970U,100M-200M,N/A,0,544,0,135,0,495,0,100,607,4041,32509
AT&T,SM-G970U,50M-100M,N/A,81,680,71,996,71,704,59,1047,781,4041,32509
AT&T,SM-G970U,10M-50M,N/A,1348,1200,1324,1290,1332,1206,1329,1267,1176,4041,32509
AT&T,SM-G970U,0M-10M,N/A,1771,735,1808,781,1763,731,1805,778,577,4041,32509
AT&T,SM-G970U,N/A,N/A,0,0,0,0,0,0,0,0,854,4041,32509
AT&T,SM-G970U,N/A,timeout,72,72,80,80,99,99,73,73,0,4041,32509
AT&T,SM-G970U,N/A,no effective service,736,736,736,736,736,736,736,736,0,4041,32509
AT&T,SM-G970U,N/A,connect_error2,33,33,22,22,40,40,39,39,0,4041,32509
AT&T,SM-G970U,N/A,bad_output,0,0,0,0,0,0,0,0,0,4041,32509
AT&T,SM-G970U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4041,32509
AT&T,SM-G998U,200M+,N/A,0,52,0,0,0,51,0,0,63,4045,32509
AT&T,SM-G998U,100M-200M,N/A,0,521,0,260,0,553,0,234,616,4045,32509
AT&T,SM-G998U,50M-100M,N/A,149,656,132,891,144,670,143,899,763,4045,32509
AT&T,SM-G998U,10M-50M,N/A,1306,1151,1178,1198,1325,1141,1249,1229,1116,4045,32509
AT&T,SM-G998U,0M-10M,N/A,1668,743,1808,769,1654,708,1735,765,548,4045,32509
AT&T,SM-G998U,N/A,N/A,0,0,0,0,0,0,0,0,939,4045,32509
AT&T,SM-G998U,N/A,timeout,86,86,86,86,99,99,86,86,0,4045,32509
AT&T,SM-G998U,N/A,no effective service,798,798,798,798,798,798,798,798,0,4045,32509
AT&T,SM-G998U,N/A,connect_error2,37,37,42,42,23,23,32,32,0,4045,32509
AT&T,SM-G998U,N/A,bad_output,1,1,1,1,1,1,2,2,0,4045,32509
AT&T,SM-G998U,N/A,unknown_error,0,0,0,0,1,1,0,0,0,4045,32509
FirstNet,XP8800,200M+,N/A,0,0,0,0,0,0,0,0,0,4083,32509
FirstNet,XP8800,100M-200M,N/A,0,48,0,1,0,47,0,0,57,4083,32509
FirstNet,XP8800,50M-100M,N/A,12,281,10,320,14,303,7,325,346,4083,32509
FirstNet,XP8800,10M-50M,N/A,1435,1870,1434,1831,1454,1842,1460,1830,1975,4083,32509
FirstNet,XP8800,0M-10M,N/A,1853,1101,1853,1145,1814,1090,1807,1119,900,4083,32509
FirstNet,XP8800,N/A,N/A,0,0,0,0,0,0,0,0,805,4083,32509
FirstNet,XP8800,N/A,timeout,42,42,57,57,59,59,48,48,0,4083,32509
FirstNet,XP8800,N/A,no effective service,692,692,692,692,692,692,692,692,0,4083,32509
FirstNet,XP8800,N/A,connect_error2,49,49,37,37,50,50,68,68,0,4083,32509
FirstNet,XP8800,N/A,bad_output,0,0,0,0,0,0,1,1,0,4083,32509
FirstNet,XP8800,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4083,32509
na,SM-G973U,200M+,N/A,0,0,0,0,0,0,0,0,0,6,32509
na,SM-G973U,100M-200M,N/A,0,0,0,0,0,0,0,0,0,6,32509
na,SM-G973U,50M-100M,N/A,0,0,0,0,0,1,0,0,1,6,32509
na,SM-G973U,10M-50M,N/A,0,1,0,1,0,0,0,1,0,6,32509
na,SM-G973U,0M-10M,N/A,2,1,2,1,2,1,2,1,1,6,32509
na,SM-G973U,N/A,N/A,0,0,0,0,0,0,0,0,4,6,32509
na,SM-G973U,N/A,timeout,1,1,0,0,0,0,0,0,0,6,32509
na,SM-G973U,N/A,no effective service,3,3,3,3,3,3,3,3,0,6,32509
na,SM-G973U,N/A,connect_error2,0,0,1,1,1,1,1,1,0,6,32509
na,SM-G973U,N/A,bad_output,0,0,0,0,0,0,0,0,0,6,32509
na,SM-G973U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,6,32509
Sprint,SM-G973U,200M+,N/A,0,1,0,0,0,0,0,0,1,4057,32509
Sprint,SM-G973U,100M-200M,N/A,0,139,0,2,0,137,0,2,161,4057,32509
Sprint,SM-G973U,50M-100M,N/A,11,455,8,479,8,433,3,493,502,4057,32509
Sprint,SM-G973U,10M-50M,N/A,589,1141,555,1211,577,1183,559,1199,1216,4057,32509
Sprint,SM-G973U,0M-10M,N/A,2183,1047,2222,1093,2206,1038,2223,1091,895,4057,32509
Sprint,SM-G973U,N/A,N/A,0,0,0,0,0,0,0,0,1282,4057,32509
Sprint,SM-G973U,N/A,timeout,298,298,281,281,273,273,266,266,0,4057,32509
Sprint,SM-G973U,N/A,no effective service,943,943,943,943,943,943,943,943,0,4057,32509
Sprint,SM-G973U,N/A,connect_error2,33,33,47,47,50,50,62,62,0,4057,32509
Sprint,SM-G973U,N/A,bad_output,0,0,1,1,0,0,1,1,0,4057,32509
Sprint,SM-G973U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4057,32509
T-Mobile,SM-G970U,200M+,N/A,0,1,0,0,0,1,0,0,2,4070,32509
T-Mobile,SM-G970U,100M-200M,N/A,0,141,0,3,0,128,0,2,165,4070,32509
T-Mobile,SM-G970U,50M-100M,N/A,46,391,40,421,39,400,34,436,468,4070,32509
T-Mobile,SM-G970U,10M-50M,N/A,870,1157,821,1184,819,1137,799,1166,1211,4070,32509
T-Mobile,SM-G970U,0M-10M,N/A,1845,1071,1891,1144,1911,1103,1911,1140,904,4070,32509
T-Mobile,SM-G970U,N/A,N/A,0,0,0,0,0,0,0,0,1320,4070,32509
T-Mobile,SM-G970U,N/A,timeout,141,141,157,157,132,132,151,151,0,4070,32509
T-Mobile,SM-G970U,N/A,no effective service,1141,1141,1141,1141,1141,1141,1141,1141,0,4070,32509
T-Mobile,SM-G970U,N/A,connect_error2,26,26,18,18,25,25,34,34,0,4070,32509
T-Mobile,SM-G970U,N/A,bad_output,1,1,2,2,3,3,0,0,0,4070,32509
T-Mobile,SM-G970U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4070,32509
T-Mobile,SM-G998U,200M+,N/A,0,280,0,1,1,276,0,1,298,4105,32509
T-Mobile,SM-G998U,100M-200M,N/A,47,223,40,308,50,236,37,297,250,4105,32509
T-Mobile,SM-G998U,50M-100M,N/A,233,355,212,443,235,366,218,449,419,4105,32509
T-Mobile,SM-G998U,10M-50M,N/A,900,814,865,889,937,869,901,902,908,4105,32509
T-Mobile,SM-G998U,0M-10M,N/A,1398,906,1458,934,1387,863,1450,957,689,4105,32509
T-Mobile,SM-G998U,N/A,N/A,0,0,0,0,0,0,0,0,1541,4105,32509
T-Mobile,SM-G998U,N/A,timeout,232,232,252,252,224,224,222,222,0,4105,32509
T-Mobile,SM-G998U,N/A,no effective service,1212,1212,1212,1212,1212,1212,1212,1212,0,4105,32509
T-Mobile,SM-G998U,N/A,connect_error2,72,72,60,60,53,53,60,60,0,4105,32509
T-Mobile,SM-G998U,N/A,bad_output,11,11,6,6,5,5,3,3,0,4105,32509
T-Mobile,SM-G998U,N/A,unknown_error,0,0,0,0,1,1,2,2,0,4105,32509
Verizon,SM-G970U,200M+,N/A,0,2,0,0,0,7,0,0,7,4048,32509
Verizon,SM-G970U,100M-200M,N/A,0,198,0,32,0,186,0,31,220,4048,32509
Verizon,SM-G970U,50M-100M,N/A,99,659,89,676,98,650,82,667,765,4048,32509
Verizon,SM-G970U,10M-50M,N/A,1318,1275,1301,1358,1311,1276,1290,1381,1287,4048,32509
Verizon,SM-G970U,0M-10M,N/A,1712,995,1766,1090,1695,985,1743,1036,846,4048,32509
Verizon,SM-G970U,N/A,N/A,0,0,0,0,0,0,0,0,923,4048,32509
Verizon,SM-G970U,N/A,timeout,90,90,77,77,111,111,84,84,0,4048,32509
Verizon,SM-G970U,N/A,no effective service,779,779,779,779,779,779,779,779,0,4048,32509
Verizon,SM-G970U,N/A,connect_error2,50,50,36,36,54,54,70,70,0,4048,32509
Verizon,SM-G970U,N/A,bad_output,0,0,0,0,0,0,0,0,0,4048,32509
Verizon,SM-G970U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4048,32509
