County,Carrier,PhoneModel,Num_of_Tests,Median_County_Income,Avg_Down,Population
Riverside,all_carrier,NA,512,35590,18715,2421480
Riverside,AT&T,SM-G930A,128,35590,19184,2421480
Riverside,Sprint,SM-G930P,128,35590,13535,2421480
Riverside,T-Mobile,SM-G930T,128,35590,16064,2421480
Riverside,Verizon,SM-G930V,128,35590,26079,2421480
Modoc,all_carrier,NA,156,32627,4675,8703
Modoc,AT&T,SM-G930A,39,32627,3448,8703
Modoc,Sprint,SM-G930P,39,32627,0,8703
Modoc,T-Mobile,SM-G930T,39,32627,1706,8703
Modoc,Verizon,SM-G930V,39,32627,13546,8703
Yuba,all_carrier,NA,36,37086,17456,81468
Yuba,AT&T,SM-G930A,9,37086,21005,81468
Yuba,Sprint,SM-G930P,9,37086,16687,81468
Yuba,T-Mobile,SM-G930T,9,37086,11369,81468
Yuba,Verizon,SM-G930V,9,37086,20763,81468
Placer,all_carrier,NA,104,57440,17942,405308
Placer,AT&T,SM-G930A,26,57440,19896,405308
Placer,Sprint,SM-G930P,26,57440,8202,405308
Placer,T-Mobile,SM-G930T,26,57440,18747,405308
Placer,Verizon,SM-G930V,26,57440,24922,405308
San Diego,all_carrier,NA,408,43442,18858,3303736
San Diego,AT&T,SM-G930A,102,43442,17453,3303736
San Diego,Sprint,SM-G930P,102,43442,13074,3303736
San Diego,T-Mobile,SM-G930T,102,43442,21306,3303736
San Diego,Verizon,SM-G930V,102,43442,23600,3303736
Mono,all_carrier,NA,56,36904,5248,13185
Mono,AT&T,SM-G930A,14,36904,8824,13185
Mono,Sprint,SM-G930P,14,36904,479,13185
Mono,T-Mobile,SM-G930T,14,36904,2799,13185
Mono,Verizon,SM-G930V,14,36904,8891,13185
Butte,all_carrier,NA,152,34586,13245,211216
Butte,AT&T,SM-G930A,38,34586,14852,211216
Butte,Sprint,SM-G930P,38,34586,7491,211216
Butte,T-Mobile,SM-G930T,38,34586,13007,211216
Butte,Verizon,SM-G930V,38,34586,17628,211216
Humboldt,all_carrier,NA,348,33244,10871,136514
Humboldt,AT&T,SM-G930A,87,33244,15308,136514
Humboldt,Sprint,SM-G930P,87,33244,3391,136514
Humboldt,T-Mobile,SM-G930T,87,33244,11363,136514
Humboldt,Verizon,SM-G930V,87,33244,13422,136514
Inyo,all_carrier,NA,120,41156,10486,18977
Inyo,AT&T,SM-G930A,30,41156,16465,18977
Inyo,Sprint,SM-G930P,30,41156,4551,18977
Inyo,T-Mobile,SM-G930T,30,41156,9502,18977
Inyo,Verizon,SM-G930V,30,41156,11426,18977
Fresno,all_carrier,NA,288,32414,14100,1008860
Fresno,AT&T,SM-G930A,72,32414,16173,1008860
Fresno,Sprint,SM-G930P,72,32414,7516,1008860
Fresno,T-Mobile,SM-G930T,72,32414,11260,1008860
Fresno,Verizon,SM-G930V,72,32414,21450,1008860
Lake,all_carrier,NA,84,32940,13344,68099
Lake,AT&T,SM-G930A,21,32940,18989,68099
Lake,Sprint,SM-G930P,21,32940,2101,68099
Lake,T-Mobile,SM-G930T,21,32940,10843,68099
Lake,Verizon,SM-G930V,21,32940,21441,68099
San Bernardino,all_carrier,NA,508,35438,17030,2181983
San Bernardino,AT&T,SM-G930A,127,35438,19170,2181983
San Bernardino,Sprint,SM-G930P,127,35438,10580,2181983
San Bernardino,T-Mobile,SM-G930T,127,35438,13894,2181983
San Bernardino,Verizon,SM-G930V,127,35438,24475,2181983
Tuolumne,all_carrier,NA,36,39102,8447,55500
Tuolumne,AT&T,SM-G930A,9,39102,10800,55500
Tuolumne,Sprint,SM-G930P,9,39102,0,55500
Tuolumne,T-Mobile,SM-G930T,9,39102,2945,55500
Tuolumne,Verizon,SM-G930V,9,39102,20042,55500
Colusa,all_carrier,NA,40,39089,12772,21826
Colusa,AT&T,SM-G930A,10,39089,16470,21826
Colusa,Sprint,SM-G930P,10,39089,2856,21826
Colusa,T-Mobile,SM-G930T,10,39089,8446,21826
Colusa,Verizon,SM-G930V,10,39089,23314,21826
Mendocino,all_carrier,NA,116,34119,11642,91602
Mendocino,AT&T,SM-G930A,29,34119,17016,91602
Mendocino,Sprint,SM-G930P,29,34119,0,91602
Mendocino,T-Mobile,SM-G930T,29,34119,14265,91602
Mendocino,Verizon,SM-G930V,29,34119,15287,91602
Sonoma,all_carrier,NA,184,47404,14177,489880
Sonoma,AT&T,SM-G930A,46,47404,14114,489880
Sonoma,Sprint,SM-G930P,46,47404,7890,489880
Sonoma,T-Mobile,SM-G930T,46,47404,19535,489880
Sonoma,Verizon,SM-G930V,46,47404,15170,489880
Del Norte,all_carrier,NA,64,33632,6245,27745
Del Norte,AT&T,SM-G930A,16,33632,12111,27745
Del Norte,Sprint,SM-G930P,16,33632,2112,27745
Del Norte,T-Mobile,SM-G930T,16,33632,508,27745
Del Norte,Verizon,SM-G930V,16,33632,10248,27745
Imperial,all_carrier,NA,156,25451,14369,178537
Imperial,AT&T,SM-G930A,39,25451,22015,178537
Imperial,Sprint,SM-G930P,39,25451,7902,178537
Imperial,T-Mobile,SM-G930T,39,25451,10054,178537
Imperial,Verizon,SM-G930V,39,25451,17503,178537
Plumas,all_carrier,NA,68,37225,6115,19666
Plumas,AT&T,SM-G930A,17,37225,10459,19666
Plumas,Sprint,SM-G930P,17,37225,0,19666
Plumas,T-Mobile,SM-G930T,17,37225,933,19666
Plumas,Verizon,SM-G930V,17,37225,13068,19666
Glenn,all_carrier,NA,44,36489,21240,28822
Glenn,AT&T,SM-G930A,11,36489,25086,28822
Glenn,Sprint,SM-G930P,11,36489,13747,28822
Glenn,T-Mobile,SM-G930T,11,36489,19415,28822
Glenn,Verizon,SM-G930V,11,36489,26711,28822
Amador,all_carrier,NA,24,44261,15518,40506
Amador,AT&T,SM-G930A,6,44261,33627,40506
Amador,Sprint,SM-G930P,6,44261,0,40506
Amador,T-Mobile,SM-G930T,6,44261,6673,40506
Amador,Verizon,SM-G930V,6,44261,21771,40506
Siskiyou,all_carrier,NA,144,33630,8520,44091
